company_id,name
184fc64b-aaf5-44a7-b2bd-dfec4e6d7db5,"Ecowell, LLC"
5425d74b-0e26-4496-9dd4-669ba665d248,"Surpass Industry Co., Ltd."
88c962da-6df3-4f86-85ba-14c24c3cb600,"Taiwan Semiconductor Manufacturing Company, Ltd."
3c2ccbb6-2205-4442-8987-441d85f71d67,NORTHROP GRUMMAN LITEF GMBH
0f76066f-653e-4489-a56a-99c90bfffed4,"National Technology & Engineering Solutions of Sandia, LLC"
4f87fefb-2763-4236-ab35-57bee381a0fd,SHELL OIL COMPANY
d4286989-7501-4e2c-9d01-bfab4107b3fc,Eastman Chemical Company
16e09015-6f15-48e8-833c-0147a774438a,GEORGIA TECH RESEARCH CORPORATION
d5c16d3b-fe6d-438f-a46a-eed9d9a6b3b1,"The Kansai Electric Power Co., Inc."
4e61fd34-7bff-47a0-a2e1-edb2b7b4826b,PURDUE RESEARCH FOUNDATION
3460c230-9de9-4732-95e6-61200ea9ba56,IsraZion Ltd.
26bf7fa7-3704-4263-b7d8-33206935e460,AZ Electronic Materials (Luxembourg) S.A.R.L.
b8dfc333-ed0c-4e66-9923-4f2f6ba7a38a,OMYA INTERNATIONAL AG
8d178ce8-7789-4009-ad3a-6e1578cf8337,COATEX
dbaeafee-078a-43e7-9af4-47a39bb94118,FLSmidth A/S
c71fa1eb-230f-4410-a8ce-868bf70d0b13,United States of America as represented by the Secretary of the Air Force
32af5781-1f17-4d64-9a62-521c1f397b70,Korea Institute of Science and Technology
c747b907-4e2b-4723-bcd2-b6958616ab8a,DANFOSS A/S
6ca11cca-066f-4f69-990a-dafa1665ef9d,ECOLAB USA INC.
da440cd3-9809-44c0-9f9e-da39625672e0,"Remediation Products, Inc."
1d4634f9-8337-450e-9474-b9f534aa8219,"Quality Pure Co., Ltd."
3aee6da5-d0fc-4ad5-9310-091125eef3f1,NANJING UNIVERSITY ECOLOGICAL RESEARCH INSTITUTE OF CHANGSHU
e95c4659-e889-45db-9621-e63e8eb53418,YARA INTERNATIONAL ASA
f2d1479b-0745-4dc6-be27-134e1b3e11b8,New Wave Industries
d46b77b1-bec7-4519-a9ac-5372d1d8a184,"EQT IP Ventures, LLC"
cb3d31d3-669f-4e6c-a788-30886ebf205e,THE UNIVERSITY OF AKRON
